Title,Company Name,Area,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Gender,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Banking Call Center Agent,Raya Customer Experience,,Cairo,Egypt,Full Time,Entry Level,0,5,,Wuzzuf,Banking,Customer Care,Customer Service/Support,Customer Care,Call Center,Customer Service,Customer Support,,,,,,
Call Center Agent Banking,Raya Customer Experience,,Maadi,Egypt,Full Time,Entry Level,0,5,,Wuzzuf,Banking,Call Center,Customer Service/Support,Call Center,Customer Care,Customer Service,English,,,,,,
Odoo Functional Consultant,Centione,,Nasr City,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Accounting,Implementation,IT/Software Development,Implementation,ERP,Financial Management,Project Management,,,,,,
CRM Specialist,Fawry Microfinance,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Accounting,,,,,,,,,,,,
Core Banking Technical Support Engineer,Confidential,,Giza,Egypt,Full Time,Experienced,3,6,,Wuzzuf,Banking,Banking,Installation/Maintenance/Repair,IT/Software Development,Engineering,Computer Science,Software Development,,,,,,
Customer Service Agent - Cairo,Raya Customer Experience,,Maadi,Egypt,Full Time,Entry Level,0,5,,Wuzzuf,Banking,Agent,Customer Service/Support,Agent,Customer Care,Customer Service,Customer,,,,,,
Account Manager,Confidential,,Maadi,Egypt,Full Time,Experienced,6,8,,Wuzzuf,Business Development,Sales Target,Sales/Retail,Sales Target,sales skills,Account Management,Customer Service,,,,,,
Account Sales Manager - Egypt,Obegi Chemicals,,Cairo,Egypt,Full Time,Manager,7,10,,Wuzzuf,Business Development,negotiation skills,Sales/Retail,negotiation skills,Sales Target,Sales,sales skills,,,,,,
B2B Sales Executive,Confidential,,Maadi,Egypt,Full Time,Experienced,2,,,Wuzzuf,Business Development,B2B,Customer Service/Support,Sales/Retail,Communication,Sales,sales skills,,,,,,
B2B Sales Specialist - Cairo,Aqarmap.com,,Cairo,Egypt,Full Time,Experienced,7,10,,Wuzzuf,Business Development,B2B,Sales/Retail,B2B,Sales,sales skills,Sales Target,,,,,,
Brand Manager,Polypharm,,Cairo,Egypt,Full Time,Manager,2,4,,Wuzzuf,Business Development,Pharmacy,Operations/Management,Pharmaceutical,Communication Skills,Computer Skills,Business Planning,,,,,,
Brand Manager- Atos Pharma,Sekem,,Nozha,Egypt,Full Time,Manager,5,7,,Wuzzuf,Business Development,Brand,Marketing/PR/Advertising,Pharmaceutical,Brand Management,Digital Marketing,Pharma,,,,,,
Business Consultant,SSC Egypt,,Cairo,Egypt,Work From Home,Experienced,7,,,Wuzzuf,Business Development,Business Development,IT/Software Development,Business Development,Consulting,Finance,Management,,,,,,
Business Developer,Confidential,,Cairo,Egypt,Full Time,Experienced,1,3,,Wuzzuf,Business Development,Business Development,Marketing/PR/Advertising,Sales/Retail,English,Sales,Communication skills,,,,,,
Business Development Assistant,GIECO,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Business Development,Business Development,Customer Service/Support,Sales/Retail,Communication skills,Communication,Sales,,,,,,
Business Development Executive,DM Arts,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,Business Development,Business Development,Customer Service/Support,Sales/Retail,Marketing,Advertising,Lead Generation,,,,,,
Business Development Executive,Naqla,,10th of Ramadan City,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Business Development,Business Development,Logistics/Supply Chain,Sales/Retail,sales skills,Logistics,Supply Chain,,,,,,
Business Development Executive - Cairo,Property Finder Group,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Business Development,Business Development,Sales/Retail,Business Development,Sales,Sales Skills,Sales Target,,,,,,
Business Development Manager,Digiton Group,,Maadi,Egypt,Full Time,Experienced,1,2,,Wuzzuf,Business Development,business,business,Business Development,Business Development,Business development manager,Development,,,,,,
