Title,Company Name,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Banking Call Center Agent,Raya Customer Experience,Cairo,Egypt,Full Time,Entry Level,0.0,5.0,Wuzzuf,Banking,Customer Care,Customer Service/Support,Customer Care,Call Center,Customer Service,Customer Support,None,None,None,None,None,None
Call Center Agent Banking,Raya Customer Experience,Maadi,Egypt,Full Time,Entry Level,0.0,5.0,Wuzzuf,Banking,Call Center,Customer Service/Support,Call Center,Customer Care,Customer Service,English,None,None,None,None,None,None
Odoo Functional Consultant,Centione,Nasr City,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Accounting,Implementation,IT/Software Development,Implementation,ERP,Financial Management,Project Management,None,None,None,None,None,None
CRM Specialist,Fawry Microfinance,Cairo,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Core Banking Technical Support Engineer,Confidential,Giza,Egypt,Full Time,Experienced,3.0,6.0,Wuzzuf,Banking,Banking,Installation/Maintenance/Repair,IT/Software Development,Engineering,Computer Science,Software Development,None,None,None,None,None,None
Customer Service Agent - Cairo,Raya Customer Experience,Maadi,Egypt,Full Time,Entry Level,0.0,5.0,Wuzzuf,Banking,Agent,Customer Service/Support,Agent,Customer Care,Customer Service,Customer,None,None,None,None,None,None
Account Manager,Confidential,Maadi,Egypt,Full Time,Experienced,6.0,8.0,Wuzzuf,Business Development,Sales Target,Sales/Retail,Sales Target,sales skills,Account Management,Customer Service,None,None,None,None,None,None
Account Sales Manager - Egypt,Obegi Chemicals,Cairo,Egypt,Full Time,Manager,7.0,10.0,Wuzzuf,Business Development,negotiation skills,Sales/Retail,negotiation skills,Sales Target,Sales,sales skills,None,None,None,None,None,None
B2B Sales Executive,Confidential,Maadi,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,Business Development,B2B,Customer Service/Support,Sales/Retail,Communication,Sales,sales skills,None,None,None,None,None,None
B2B Sales Specialist - Cairo,Aqarmap.com,Cairo,Egypt,Full Time,Experienced,7.0,10.0,Wuzzuf,Business Development,B2B,Sales/Retail,B2B,Sales,sales skills,Sales Target,None,None,None,None,None,None
Brand Manager,Polypharm,Cairo,Egypt,Full Time,Manager,2.0,4.0,Wuzzuf,Business Development,Pharmacy,Operations/Management,Pharmaceutical,Communication Skills,Computer Skills,Business Planning,None,None,None,None,None,None
Brand Manager- Atos Pharma,Sekem,Nozha,Egypt,Full Time,Manager,5.0,7.0,Wuzzuf,Business Development,Brand,Marketing/PR/Advertising,Pharmaceutical,Brand Management,Digital Marketing,Pharma,None,None,None,None,None,None
